Designator,Footprint,Quantity,Value,LCSC Part #
C1,1812,1,33nF,C97977
C10,0402,1,100nF,C307331
C11,0805,1,10µF,C440198
C12,1206,1,10µF,C13585
"C13, C16, C5, C9",0603,4,100nF,C14663
"C14, C3",0603,2,1µF,C15849
C15,0603,1,47pF,C1671
C17,0603,1,22pF,C1653
C2,1206,1,"10µ, 50V",C13585
C4,1206,1,"10µF, 50V",C13585
"C6, C7",0805,2,22µF,C45783
C8,0402,1,1nF,C1523
D1,DIOM7959X265N,1,SS34,C8678
D3,0805,1,LED,C84256
J1,USB_C_Receptacle,1,USB_C_Receptacle_USB2.0,C709357
L1,L_SXN_SMDRI127,1,330µH,C10152
L3,L_Bourns_SRP7028A_7.3x6.6mm,1,10µH,C5189958
M1,motor,1,Motor_DC,
"Q1, Q2",D882,2,D882,C9634
"Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,6,BSS138,C7420339
R1,0603,1,2k2,C4190
"R10, R12, R21, R23, R3",0402,5,10k,C25744
"R11, R25",0402,2,1k,C11702
R13,0603,1,56k,C23206
"R14, R6",0402,2,100k,C25741
"R15, R18, R20, R24, R7, R9",0402,6,47k,C25792
R16,0603,1,30k,C22984
R17,0402,1,20k,C25765
R19,0402,1,49.9,C25120
R2,0402,1,15k,C25756
R22,0603,1,1k,C21190
R4,0402,1,100R,C25076
R5,0402,1,22k,C25768
R8,0402,1,4k7,C25900
"SW1, SW2",XKB5858-X-F-75,2,~,C780037
SW3,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W8.61mm_P2.54mm,1,SW_DIP_x03,C7421520
"U1, U2, U3, U4, U5, U6",Pin_2mm,6,Pin-Connector,
U10,SOT-89-3,1,HT7550-1-SOT89,C16106
U11,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,C970725
"U12, U13, U9",JLC_tooling_hole,3,~,
U7,SOP-16_3.9x9.9mm_P1.27mm,1,4017,C22390236
U8,SOT-23-6,1,TPS54302,C311983
